rev	51c0bbdb3
serial	emulator-5560
runs	15
fixture	clocks
gpu	host
snapshot	cold boot
pack	lawnicons
cover.glass.frames	564
cover.glass.janky	304
cover.glass.p50_ms	57
cover.glass.p90_ms	93
cover.glass.p95_ms	121
cover.glass.p99_ms	150
inner.glass.frames	522
inner.glass.janky	321
inner.glass.p50_ms	48
inner.glass.p90_ms	101
inner.glass.p95_ms	133
inner.glass.p99_ms	200
backdrop.glass.1080x2364	89 ms (135x296, blur 7px; decode 192x344 at 1/8: 51 ms, crop+scale+blur: 38 ms)
backdrop.glass.2076x2152	123 ms (260x269, blur 7px; decode 384x688 at 1/4: 36 ms, crop+scale+blur: 87 ms)
