rev	780a1a777
serial	emulator-5560
runs	15
fixture	clocks
gpu	host
snapshot	cold boot
pack	none
cover.glass.frames	246
cover.glass.janky	156
cover.glass.p50_ms	36
cover.glass.p90_ms	113
cover.glass.p95_ms	125
cover.glass.p99_ms	150
inner.glass.frames	269
inner.glass.janky	173
inner.glass.p50_ms	32
inner.glass.p90_ms	117
inner.glass.p95_ms	117
inner.glass.p99_ms	133
backdrop.glass.2076x2152	93 ms (260x269, blur 7px; decode 384x688 at 1/4: 35 ms, crop+scale+blur: 57 ms)
backdrop.glass.1080x2364	74 ms (135x296, blur 7px; decode 192x344 at 1/8: 39 ms, crop+scale+blur: 35 ms)
