rev	ac80b5f6a
serial	emulator-5560
runs	15
fixture	clocks
gpu	host
snapshot	cold boot
pack	lawnicons
cover.glass.frames	515
cover.glass.janky	280
cover.glass.p50_ms	57
cover.glass.p90_ms	113
cover.glass.p95_ms	150
cover.glass.p99_ms	150
inner.glass.frames	599
inner.glass.janky	364
inner.glass.p50_ms	48
inner.glass.p90_ms	101
inner.glass.p95_ms	133
inner.glass.p99_ms	150
backdrop.glass.1080x2364	90 ms (135x296, blur 7px; decode 192x344 at 1/8: 50 ms, crop+scale+blur: 39 ms)
backdrop.glass.2076x2152	114 ms (260x269, blur 7px; decode 384x688 at 1/4: 37 ms, crop+scale+blur: 76 ms)
