rev	3e2333777
serial	emulator-5560
runs	15
fixture	clocks
gpu	host
snapshot	cold boot
pack	lawnicons
cover.glass.frames	692
cover.glass.janky	190
cover.glass.p50_ms	36
cover.glass.p90_ms	73
cover.glass.p95_ms	93
cover.glass.p99_ms	129
inner.glass.frames	755
inner.glass.janky	235
inner.glass.p50_ms	32
inner.glass.p90_ms	65
inner.glass.p95_ms	81
inner.glass.p99_ms	133
backdrop.glass.1080x2364	85 ms (135x296, blur 7px; decode 192x344 at 1/8: 45 ms, crop+scale+blur: 39 ms)
backdrop.glass.2076x2152	118 ms (260x269, blur 7px; decode 384x688 at 1/4: 45 ms, crop+scale+blur: 72 ms)
